ご利用日,ご利用先など,支払開始年月,お支払回数,何回目,ご利用金額,手数料・利息,当月ご請求額,翌月繰越残高
20210403,ヤフービジネスサービス,202106,1,1,"11,000",,0,
20210406,ヤフービジネスサービス,202106,1,1,"11,000",,0,
20210412,ヤフービジネスサービス,202106,1,1,"11,000",,0,
20210416,ヤフービジネスサービス,202106,1,1,"11,000",,0,
20210419,ヤフービジネスサービス,202106,1,1,"11,000",,0,
20210422,ヤフービジネスサービス,202106,1,1,"11,000",,0,
20210423,ヤフービジネスサービス,202106,1,1,"11,000",,0,
20210424,ヤフービジネスサービス,202106,1,1,"11,000",,0,
20210427,ヤフービジネスサービス,202106,1,1,"11,000",,0,
20210429,ヤフービジネスサービス,202106,1,1,"11,000",,0,
20210430,楽天グループ電話サービス,202106,1,1,"13,393",,0,
20210504,ＧＯＯＧＬＥ　ＪＡＰＡＮ,202106,1,1,"100,000",,0,
20210506,モバツクス,202106,1,1,"1,104",,0,
20210507,ＧＯＯＧＬＥ　ＪＡＰＡＮ,202106,1,1,"100,000",,0,
20210507,ソフトバンクＢ,202106,1,1,"8,428",,0,
20210509,モバイルスイカ,202106,1,1,"10,000",,0,
20210509,ラクスル,202106,1,1,741,,0,
20210510,ＧＯＯＧＬＥ　ＪＡＰＡＮ,202106,1,1,"100,000",,0,
20210510,ゼウスマ－チヤントクラブ,202106,1,1,"5,500",,0,
20210510,ゼウスマ－チヤントクラブ,202106,1,1,"5,500",,0,
20210511,ハンコキングインカンシャチハタ　　（ラクテン,202106,1,1,"1,279",,0,
20210512,コンポウシザイノケイマ－ト　　　（ラクテン,202106,1,1,"6,800",,0,
20210514,ＧＯＯＧＬＥ　ＪＡＰＡＮ,202106,1,1,"100,000",,0,
20210514,モバイルスイカ,202106,1,1,"10,000",,0,
20210517,ＧＯＯＧＬＥ　ＪＡＰＡＮ,202106,1,1,"100,000",,0,
20210518,ＡＰＰＬＥ　ＣＯＭ　ＢＩＬＬ,202106,1,1,480,,0,
20210518,ダンボールワン（ビートウービー）,202106,1,1,"10,698",,0,
20210521,ＧＯＯＧＬＥ　ＪＡＰＡＮ,202106,1,1,"100,000",,0,
20210521,エツクスサ－バ－,202106,1,1,"1,100",,0,
20210522,モバイルスイカ,202106,1,1,"10,000",,0,
20210524,ＧＯＯＧＬＥ　ＪＡＰＡＮ,202106,1,1,"100,000",,0,
20210524,パツケ－ジツウハン,202106,1,1,"3,190",,0,
20210526,アドプリント,202106,1,1,"13,220",,0,
20210526,インサツノツウハングラフイツク（Ｂ）,202106,1,1,"37,840",,0,
20210528,ＧＯＯＧＬＥ　ＪＡＰＡＮ,202106,1,1,"100,000",,0,
20210528,サクラインタ－ネツト,202106,1,1,"5,238",,0,
20210528,サクラインタ－ネツト,202106,1,1,"5,238",,0,
20210528,サクラインタ－ネツト,202106,1,1,524,,0,
20210528,サクラインタ－ネツト,202106,1,1,524,,0,
20210528,サクラインタ－ネツト,202106,1,1,524,,0,
20210528,サクラインタ－ネツト,202106,1,1,524,,0,
20210528,ラクスル,202106,1,1,"41,116",,0,
20210530,モバイルスイカ,202106,1,1,"10,000",,0,
20210531,ＡＤＯＢＥ　ＩＬ　ＣＲＥＡＴＩＶＥ　ＣＬＤＩＲＥＬＡＮＤ　　　　　　　　　　３８２８．００　　　　　　　換算レート／　　　１．００００円,202106,1,1,"3,828",,0,
